Draft,Round,Pick,Name,Position,Signing Bonus,School Type,MLB Debut,Years in MLB,Active,Last Year,Age at Draft,Rookie Year,Bats,Throws
2010,1,16,Hayden Simpson,RHP,"$1,060,000",4Yr,N/A,N/A,FALSE,2013,21,N/A,Right,Right
2010,1,17,Josh Sale,Batter,"$1,620,000",HS,N/A,N/A,FALSE,2023,18,N/A,Left,Right
2010,1,18,Kaleb Cowart,RHP,"$2,300,000",HS,2015,5,FALSE,2022,18,2016,Both,Right
2010,1,19,Mike Foltynewicz,RHP,"$1,305,000",HS,2014,8,FALSE,2021,18,2015,Right,Right
2010,1,20,Kolbrin Vitek,Batter,"$1,359,000",4Yr,N/A,N/A,FALSE,2013,21,N/A,Right,Right
2010,1,21,Alex Wimmers,RHP,"$1,332,000",4Yr,2016,2,FALSE,2018,21,N/A,Left,Right
2010,1,22,Kellin Deglan,Batter,"$1,000,000",HS,N/A,N/A,FALSE,2022,18,N/A,Left,Right
2010,1,23,Christian Yelich,Batter,"$1,700,000",HS,2013,12,TRUE,2024,18,2013,Left,Right
2010,1,24,Gary Brown,Batter,"$1,450,000",4Yr,2014,1,FALSE,2017,21,N/A,Right,Right
2010,1,25,Zack Cox,Batter,"$2,000,000",4Yr,N/A,N/A,FALSE,2017,21,N/A,Left,Right
2010,1,26,Kyle Parker,Batter,"$1,400,000",4Yr,2014,2,FALSE,2016,20,2015,Right,Right
2010,1,27,Jesse Biddle,LHP,"$1,160,000",HS,2018,4,FALSE,2023,18,2018,Left,Left
2010,1,28,Zach Lee,RHP,"$5,250,000",HS,2015,2,FALSE,2022,18,N/A,Right,Right
2010,1,29,Cam Bedrosian,RHP,"$1,116,000",HS,2014,8,TRUE,2024,18,2015,Right,Right
2010,1,30,Chevy Clarke,Batter,"$1,089,000",HS,N/A,N/A,FALSE,2019,18,N/A,Both,Right
2010,1,31,Justin O'Conner,Batter,"$1,025,000",HS,N/A,N/A,TRUE,2024,18,N/A,Right,Right
2010,1,32,Cito Culver,RHP,"$954,000",HS,N/A,N/A,TRUE,2024,17,N/A,Both,Right
2010,1,33,Mike Kvasnicka,Batter,"$936,000",4Yr,N/A,N/A,FALSE,2015,21,N/A,Both,Right
2010,1,34,Aaron Sanchez,RHP,"$775,000",HS,2014,8,TRUE,2024,17,2015,Right,Right
2010,1,35,Matt Lipka,Batter,"$800,000",HS,N/A,N/A,FALSE,2022,18,N/A,Right,Right
