Year,Rnd,OvPck,Name.cleaned,Name.student,status.cleaned,times.cleaned,status.student,times.student,changed_status,changed_times
2012,24,741,Eric Grabe (minors),Eric Grabe,2,8,2,5,FALSE,TRUE
2012,24,757,Jose Mesa Jr. (minors),Jose Mesa Jr.,0,10,0,13,FALSE,TRUE
2012,25,763,Matt Tenuta (minors),Matt Tenuta,0,10,0,13,FALSE,TRUE
2012,25,781,Khiry Cooper (minors),Khiry Cooper,2,1,2,0,FALSE,TRUE
2012,25,782,Jordan Harrison (minors),Jordan Harrison,2,9,2,8,FALSE,TRUE
2012,26,797,Colton Grant (minors),Colton Grant,2,1,2,3,FALSE,TRUE
2012,26,816,Austen Thrailkill (minors),Austen Thrailkill,2,3,2,4,FALSE,TRUE
2012,28,850,Carson Goldsmith (minors),Carson Goldsmith,2,6,2,11,FALSE,TRUE
2012,28,854,Lance Rymel (minors),Lance Rymel,2,3,0,13,TRUE,TRUE
2012,28,876,Joe Burns (minors),Joe Burns,2,3,2,2,FALSE,TRUE
2012,29,879,Christian Garcia (minors),Christian Garcia,2,5,2,2,FALSE,TRUE
2012,35,1065,Wynton Bernard (minors),Wynton Bernard,0,10,1,11,TRUE,TRUE
2012,35,1080,Ben O'Shea (minors),Ben O'Shea,2,1,2,2,FALSE,TRUE
2012,35,1085,Jose Sermo (minors),Jose Sermo,0,10,0,13,FALSE,TRUE
2012,36,1103,Benny Suarez (minors),Benny Suarez,2,8,2,11,FALSE,TRUE
2012,37,1119,Michael Dimock (minors),Michael Dimock,2,8,2,7,FALSE,TRUE
2012,37,1143,Breland Almadova (minors),Breland Almadova,0,10,2,11,TRUE,TRUE
2012,37,1145,Taylor Brennan (minors),Taylor Brennan,0,10,2,10,TRUE,FALSE
2012,38,1170,Javier Machuca (minors),Javier Machuca,2,8,2,4,FALSE,TRUE
2012,39,1191,Mitch Glasser (minors),Mitch Glasser,0,10,2,10,TRUE,FALSE
2012,40,1215,Terrance Owens (minors),Terrance Owens,2,1,2,6,FALSE,TRUE
2012,40,1236,Paul Schwendel (minors),Paul Schwendel,0,10,2,11,TRUE,TRUE
2013,1,1,Mark Appel (minors),Mark Appel,0,9,1,10,TRUE,TRUE
2013,1,12,D.J. Peterson (minors),D.J. Peterson,0,9,2,10,TRUE,TRUE
2013,1,20,Jonathon Crawford (minors),Jonathon Crawford,0,9,2,11,TRUE,TRUE
2013,1,33,*Ian Clarkin (minors),Ian Clarkin,0,9,0,12,FALSE,TRUE
2013,2,45,Teddy Stankiewicz (minors),Teddy Stankiewicz,0,9,0,12,FALSE,TRUE
2013,2,47,Clinton Hollon (minors),Clinton Hollon,0,9,0,12,FALSE,TRUE
2013,2,48,Andrew Church (minors),Andrew Church,2,7,2,10,FALSE,TRUE
2013,2,56,Tom Windle (minors),Tom Windle,0,9,2,10,TRUE,TRUE
2013,2,60,Riley Unroe (minors),Riley Unroe,0,9,0,12,FALSE,TRUE
2013,2,63,Dillon Overton (minors),Dillon Overton,1,5,1,4,FALSE,TRUE
2013,2,66,Gosuke Katoh (minors),Gosuke Katoh,0,9,1,10,TRUE,TRUE
2013,3,82,Carter Hope (minors),Carter Hope,0,9,2,11,TRUE,TRUE
2013,3,94,Jeff Thompson (minors),Jeff Thompson,0,9,2,10,TRUE,TRUE
2013,3,96,Jan Hernandez (minors),Jan Hernandez,0,9,2,11,TRUE,TRUE
2013,3,97,Thomas Milone (minors),Thomas Milone,0,9,2,10,TRUE,TRUE
2013,3,101,Chase Johnson (minors),Chase Johnson,0,9,2,10,TRUE,TRUE
2013,3,105,Drew Ward (minors),Drew Ward,0,9,0,12,FALSE,TRUE
2013,4,113,Myles Smith (minors),Myles Smith,0,9,2,10,TRUE,TRUE
2013,4,116,L.J. Mazzilli (minors),L.J. Mazzilli,0,9,2,10,TRUE,TRUE
2013,4,117,Ryan Horstman (minors),Ryan Horstman,2,6,2,10,FALSE,TRUE
2013,5,150,Jamie Westbrook (minors),Jamie Westbrook,0,9,1,12,TRUE,TRUE
2013,5,155,Ian McKinney (minors),Ian McKinney,0,9,0,12,FALSE,TRUE
2013,5,159,Travis Seabrooke (minors),Travis Seabrooke,0,9,0,12,FALSE,TRUE
2013,5,163,Mikey Reynolds (minors),Mikey Reynolds,0,9,0,12,FALSE,TRUE
2013,5,165,Cory Thompson (minors),Cory Thompson,0,9,0,12,FALSE,TRUE
2013,6,183,James Dykstra (minors),James Dykstra,0,9,0,12,FALSE,TRUE
2013,6,190,Sam Wolff (minors),Sam Wolff,0,9,2,9,TRUE,FALSE
2013,7,201,Kenny Mathews (minors),Kenny Mathews,0,9,2,11,TRUE,TRUE
2013,7,210,Daniel Gibson (minors),Daniel Gibson,0,9,2,10,TRUE,TRUE
2013,7,213,Trey Michalczewski (minors),Trey Michalczewski,0,9,2,10,TRUE,TRUE
2013,8,233,Forrestt Allday (minors),Forrestt Allday,0,9,2,9,TRUE,FALSE
2013,8,236,Ricky Knapp (minors),Ricky Knapp,0,9,2,9,TRUE,FALSE
2013,8,238,Adrian De Horta (minors),Adrian De Horta,0,9,0,12,FALSE,TRUE
2013,9,258,Charcer Burks (minors),Charcer Burks,0,9,2,9,TRUE,FALSE
2013,9,279,Mitch Horacek (minors),Mitch Horacek,0,9,2,9,TRUE,FALSE
2013,9,280,Jose Samayoa (minors),Jose Samayoa,0,9,0,12,FALSE,TRUE
2013,9,286,Jake Joyce (minors),Jake Joyce,0,9,0,12,FALSE,TRUE
2013,10,287,Austin Nicely (minors),Austin Nicely,0,9,2,10,TRUE,TRUE
2013,11,320,Nelson Molina (minors),Nelson Molina,0,9,2,11,TRUE,TRUE
2013,11,324,Xavier Fernandez (minors),Xavier Fernndez,0,9,0,12,FALSE,TRUE
2013,11,333,Matt Ball (minors),Matt Ball,2,8,0,12,TRUE,TRUE
2013,11,345,Ty Boyles (minors),Ty Boyles,0,9,2,8,TRUE,TRUE
2013,12,348,Trevor Clifton (minors),Trevor Clifton,0,9,0,12,FALSE,TRUE
2013,12,365,Ricardo Bautista (minors),Ricardo Bautista,2,6,2,5,FALSE,TRUE
2013,12,371,Dakota Freese (minors),Dakota Freese,0,9,2,10,TRUE,TRUE
2013,13,381,Sicnarf Loopstok (minors),Sicnarf Loopstok,0,9,2,11,TRUE,TRUE
2013,13,387,Lachlan Fontaine (minors),Lachlan Fontaine,0,9,2,9,TRUE,FALSE
2013,13,402,Pat Young (minors),Pat Young,0,9,2,11,TRUE,TRUE
2013,13,404,Cale Coshow (minors),Cale Coshow,0,9,2,9,TRUE,FALSE
2013,14,413,Jake Romanski (minors),Jake Romanski,0,9,2,9,TRUE,FALSE
2013,14,436,David Masters (minors),David Masters,0,9,2,9,TRUE,FALSE
2013,15,442,Miles Williams (minors),Miles Williams,0,9,0,12,FALSE,TRUE
2013,15,461,Edwin Diaz (minors),Edwin Daz,0,9,0,12,FALSE,TRUE
2013,16,485,Blake Higgins (minors),Blake Higgins,2,1,2,3,FALSE,TRUE
2013,16,495,Fabian Roman (minors),Fabian Roman,2,7,2,10,FALSE,TRUE
2013,17,503,Joseph Monge (minors),Joseph Monge,0,9,2,11,TRUE,TRUE
2013,17,504,Kevin Perez (minors),Kevin Perez,2,4,2,10,FALSE,TRUE
